2026-04-12 14:09:07 - whisperx.vads.pyannote - INFO - Performing voice activity detection using Pyannote...
Lightning automatically upgraded your loaded checkpoint from v1.5.4 to v2.6.1. To apply the upgrade to your files permanently, run `python -m lightning.pytorch.utilities.upgrade_checkpoint ../../.pyenv/versions/transcriptoz/lib/python3.12/site-packages/whisperx/assets/pytorch_model.bin`
2026-04-12 14:09:25 - whisperx.transcribe - INFO - Performing transcription...
Transcript: [19.387 --> 38.658]  bravo, bravo. Ciao tutti, noi sate. Ciao. Ciao, Joy.
Transcript: [358.574 --> 381.102]  qual'è sarà la motivazione per farlo lo sciacone e la fine arrivata. Io ho stato trampo che che che è. Dà da usato oi sì. Tanto, trattoggiaro, che se sia dall'ato bella cenario, sia dall'ato azionario e la tutta molto streccio, strecciato nel senso
Transcript: [381.76 --> 410.701]  Ci vedete anche nel stenzione di come si moveva di stieri al cini molto timi di su recipe x ormai da un meso. Poi, ovviamente, quando osvende esvende e regge sono sempre più udrasti, si c'è risulta non sempre molto di più, però molto timi di no parte specialmente raggiari. Io si vabbè da usciuttà un'impoi anche di una bella merda. Per cui stendo suscettibile così, qualcosa si cosa,
Transcript: [411.342 --> 433.246]  appena si aggrappa ad una motivazione valida, la prende come volte, un motivazione buona per fare quello che non ha fatto precedentemente. Nesta cosa la possiamo vedere qui su su rendimenti alla fine non ci siamo praticamente
Transcript: [433.55 --> 462.187]  non è successo per il canente nulla, su rendimenti siamo rimasti qui in questo molto strettissimo fino a che ieri sono la combinazione di fatto rifondamentalmente e allora io mi ero perso delle parte che non guardavo granche e non uso in particolare nel niente proprio perché sono dato proprio allo scalting e giusto prendendoci giusto quello che c'era ma
Transcript: [462.457 --> 490.267]  poi ho discutato la punto della liquidità anche nella metodo logie della datamento queste tipo di scenari, perché un trampo ovviamente in prevedibile, in prevedibile però fino in certo punto nel senso che sono passati 10 mesi con lui al governo i paterni che sono i 3 del globale riconoscono nel suo seguito si degli eventi, quindi
Transcript: [490.503 --> 517.081]  nel concatenale se degli eventi diciamo come risposta che lui può dare ad altre cose se viene stimolato sono abbastanza prevedibile. Quindi un po' di anticipazione c'è adesso ben erdi e scudate giore di no questo no dove caspito ci sono
Transcript: [518.161 --> 545.87]  Giove di uscita questa cosa inacquina e spande la restruzione sui exporto delle materiali dalle terrarie, che sono quelle, che sono quelle che potenzi a tutto il mondo moderno e sempre di più e sempre di più adesso con cericole gli amoli ad un discorso molto più amplio anche
Transcript: [546.798 --> 576.498]  Andere a su telegram che dè che si riprendere l'inqui, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi, chi
Transcript: [578.793 --> 604.73]  non messo sul disco. Per un sutegno. Grazie. Ci ricolegliamo in scorsa molto più anchio, vero che sentiamo a spesso parlare di bola, di bola di bola, di bola, di la bola delle ai. Però rispetto a probabilmente quella che è stata quella del 2000, quindi una situazione
Transcript: [605.32 --> 635.037]  simile ma lo era felonciato appunto però siamo andati oltre secondo me a quella che la vera è proprio abola nel senso che effettivamente tutta la storia va bene lei ai vista dall'agente pubblica dice non ha tutto questo tutta questa applicazione il classico tenta normale che va suci aggipiti e ichi delle casattine oppure meno casattino comunque un'utente, un'utenza media
Transcript: [635.324 --> 663.893]  base. Allo stesso modo quando la bola del dot com di internet c'erano gli otenti medi che l'utilizzava in un certo modo ma che ci ha visto lungo e le aziende ne approfittava in una maniera spropositata quindi c'è derfun potenziale gli è dell'LM dell'EIA e ad esempio nel mio piccolo mi ritengo già un po' più un paverio user e lo vedo la disponibilità e la quantità di
Transcript: [664.265 --> 689.442]  di opzioni a disposizione per sviluppare, per portare avanti interagliende fondamentamente. Quindi, immaginiamo delle corporazioni o aziende medio grandi, che integrano da tabes vetoriali, la conoscenza, uno sviluppo continuo basato su automazione, quindi c'è tanta richiesta.
Transcript: [689.965 --> 719.665]  non siamo più nella fase effettiva bolla anche perché siamo nativanti a lungo ovvio che la narrativa rimane quindi appena siamo andiamo a toccare a determinati argomenti e c'è un po' di societtibilità il fatto che non sia davvero una bolla effettivamente c'è lo dimostra la societtibilità del mercato ad eventi e a nyuse che toccano netterrerare quindi tutti i primi materiali che servono a potenziare
Transcript: [719.885 --> 747.053]  Tutti componenti elettronici essenziali, le CPU, le GPU, che poi potenciano i data center. La verete visto del punto di vista azionario, nei ultimi anni, tutti i guanti sono nella corsa e data center, chiun questa condizionando data center gigantesque, ma sto doanti ci impegnando anche un sacco di persone lavoro. Quindi si compensa quello che lei ai magari togliere.
Transcript: [747.425 --> 777.327]  di lavoro, datta la automazione che poi non è poi più heritanto perché lei deve essere super visionata e solo che si accelera, non togli il lavoro, accelera il lavoro. Quindi quella è una parte di bola in somali soddidi problema superato. Però nel momento in cui trampe a una nuosa come la China che l'imita, quindi ho usato come potere politico e geopolitico, il controllo sulle sportazioni, di questi materiali,
Transcript: [778.222 --> 802.218]  e tramperi sponde con delle tariffo al 100% ci da la certezza o mai consolidata su quanto loro cittengono e sei vai a togliere se vai a giocare su questo punto di vista su questo campo ovviamente arrivalato la arrivato a tempestiva la risposta giorno dopo mercati chiusa a mercati cosera verso fine giornata qualcosa di genere no e
Transcript: [803.517 --> 832.88]  la risposta immediata fondamentalmente dell'imposizione dei dati al 100% la cina, sombando sia quelli che già non erano impossi. Ovviamente su questo crea uno scata fascio perché vale e ovvio c'è la feda dei esempio che dice dobbiamo ancora vedere i desfettivi plastenisti, c'è massicazzi, ma cosa ti aspetti? 100% di qua, 50% di la, 20% di la, ma seriamente la feda americana si dovrebbe trovare
Transcript: [833.217 --> 861.871]  Nel momento in cui trampaia salito al potere, la feda americana si dovrà trovare lo stesso livello dell'Unione Europea, se non meglio per fronteggiare il rischio di un governo così aggressivo dal punto di vista dei dazi, quindi potenzialmente in strazionistice. Invece lo accolano deciso di fare hanno pausato. Nel momento in cui poi c'è stata di visione dell'Unione Europea, c'è da altre percento, e adesso
Transcript: [862.36 --> 890.845]  e adesso invece la fredde deve recuperare si trevva trovando in una situazione in cui tarampti spera un 100% di d'azio in più all'acchina, cioè veramente è una cosa fuori di testa però abbiamo quello che abbiamo come ciclo economico siamo ancora tendenzialmente nel politica monetaria contrazioni isticcane senso che da un punto di vista stanno riducendo i
Transcript: [891.352 --> 918.571]  i tassi hanno ripreso la reazione dei tassi però è marginale la cosa. L'effetto dell'apolitica monetare che hanno tuato nei ultimi due anni si prolungiaranno molto lungo perché ci sono delle medie, c'è il rischio, il rischio infrazione, ci sono tutti i suop che vanno vanti fino a 30 anni che mantenendo un tasso elevato per così tanto tempo vengono influenzati
Transcript: [918.74 --> 947.748]  è prima che la curva degli suopesi normali e venga riportata a dei livelli decenti, ci vorrà tempo. Quindi, in somma, quello che revvedremo meglio nei corsi, come analizzare, tutto questo lo giuro, ho fare una cosa abbastanza berevi, in somma, solo per discutere perché mi interessava non avendo seguito anche gli ultimi 10 giorni, nello svilirio nel svilirio profilitante. Comunque appunto arrivata
Transcript: [948.524 --> 967.424]  per cento per cento che io si ecco, che io questo è quello della cinema, ma sono per se completamente e il qualcuno voleva parlare Francesco.
Transcript: [968.167 --> 995.892]  di aspettavo, sicuramente con un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un'un
Transcript: [996.415 --> 1025.727]  le modalità operative, non se dicevo cavolo, comunque in video ha venduto una catasso di chip adestro sinistra. E' media, fatto i vari contratti con opene i compagnacantante e pensavo, adesso magari in focus si sposta, da chi fa idato a center a chi fa la ticcia?
Transcript: [1026.301 --> 1047.209]  chi fa effettivamente i programmi che sviluppa, effettivamente le lm o le i o quello come l'ho vengono, se dice ok, in un primo momento e ha fatto i soldi sono stati chi dava l'infrastruttura e adesso
Transcript: [1047.715 --> 1077.247]  i fa i soldi effettivamente e chi da i programmi. Certo, però, in effettino è stato così, perché in cui è il fatto di discosso di deteriorare, ultere il comunque il focus sul... E' ancora sulla... E' ancora sulla basa, sul cui è la basa, sul cui è la basa, sul cui è la basa, sul cui è la basa, sul cui è la basa, sul cui è la basa, sul cui è la basa, sul cui è la basa, sul cui è la basa, il cui è la basa, il cui è la basa, il cui è la basa, il cui è la basa, il cui è la basa, il cui è la basa, il cui è la basa, il cui è la basa, il cui è la basa, il cui è la basa, il cui è la basa, il cui è la basa, il cui è la basa, il cui è la basa,
Transcript: [1077.601 --> 1107.301]  l'ultimo ciclo di Ernings e il rapporto da dove provenivano i introiti ad esempio di Google con l'API di Gemini. Io pene ai con il sombo antropi che tutte quelle i biggio della del LM e quanto le loro API venisse lo quanto dell'ora introito entrasse dall'utilizzo dell'API. Non so se hai provato a guardare io sinceramente non ho guardato.
Transcript: [1107.47 --> 1131.618]  io vi sto giusto che che era Microsoft a aumentato tantissimo l'introito dal diciamo da Copailotto in generale come come ad essere vizi e anche le impodifici e le capigno perché sono un po' mischiati
Transcript: [1132.242 --> 1160.626]  C'è l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? E' l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurodarno? Ai l'Eurod
Transcript: [1161.098 --> 1188.706]  In fondamento avente siamo lì sulla creazione dell'infrastrottura e probabilmente ci sono ancora dei problemi da superare il problema del costo elettrico, principalmente in ivenimente che non è trascurabile assolutamente perché potenziare tutto ciò e veramente compensare i costi ancora per loro è molto difficile probabilmente
Transcript: [1189.313 --> 1219.199]  Non ho notto ma che utilizzando l'utilizzando diverse IPI con catenate diverse agenti tutti quanti. Notto che comunque quando esce un nuovo modello si comporta in determinato modo e è un po' più permissivo, però anche se loro non te lo fanno notare, introducono in qualcosa nel loro beckenda, andando vanti dopo che le modello è stato relasciato ed è cicli con SGP-5 e GP-5 una bomba.
Transcript: [1219.57 --> 1247.212]  passano due mesi e c'è Claudio 4.5 e Claudio 4.5 è una bomba, però si degrada velocemente nel senso che lo stesso compito che lui faceva il momento dei rilascio o poco dopo, non lo porta più a compito, non lo stesso modo efficientemente due mesi dopo. Quindi è chiaro che loro da parte beckend modificano qualcosa perché sono perdita, fondamentalmente girano perdita.
Transcript: [1247.735 --> 1269.082]  Quindi questo secondo me è il problema delle trichità e delle consumere le tricodiede attacentere è una cosa gigantesca per adesso e probabilmente quello è un next big problem da risolvere, che non è pensi. Sì, si sta vuole attunque qualcosa di fisco.
Transcript: [1269.436 --> 1295.069]  che fatta la tavoli di cercando in questo momento, ma non è stato trovando, che diceva che comunque effettivamente le revenio aumenta uno se l'ho il fatturato aumentava, però aumentavano anche costi per infrastruttura e la fine gli utili non erano così eseggerati.
Transcript: [1295.828 --> 1313.26]  rispetto a quello che loro si immaginavano, adesso due secondi. Non tanto farlo durante perché comunque fa e bello, lo vedono i miei situari, il fatto rato e bello si vede, c'è comunque però i costi sono estremamente elevati.
Transcript: [1313.817 --> 1334.945]  Si si si infatti il problema era alla fine il discorso del ok, il faturato aumenta, però aumentano anche costi per cui gli utili che poi è quello che guardano gli azionisti, non stanno aumentando quanto, non è che non stanno aumentando.
Transcript: [1334.945 --> 1362.653]  Ma non stanno aumentando quanto loro si sospettavano. Era il coser, questo è su magari, vedo vedo di ritrovarlo e l'omelo metto su Telegram. C'è questo? Questa cosa quattro? Il discorso della Bolla ed il progresso tecnologico è sempre quello e che sconvoggi il mercato e il mondo intero.
Transcript: [1362.923 --> 1391.797]  Quattro anni fa nessuno proprio mai puto che immaginare delle capacità che di estendere le propristesse capacità umane con ragionamenti e ricerca. In sumo tutto quello che può immaginarti che prima non è le capaci di fare era l'attivo specialmente all'informati, che è ma anche all'attopratico adesso lo puoi fare. Però come ogni cosa del genere, se non c'è un progresso continuo,
Transcript: [1392.252 --> 1420.028]  e tutto il mondo è giusto di continuare innovazione e innovazione basta. Se non continuare sempre così senza sensazione all'eprimo, poi ovviamente ci dovrà essere un riprazzamento, però chiamare la bolla e difficile nel senso chiamare una cosa come due nila, non lo so, quello forse non ancora.
Transcript: [1420.501 --> 1449.712]  perché come dicevamo punto se si stanno ancora fondando le basi e chi ha la guida di tutto ciò vedete che investire miliardi e stramiliardi per costruire l'infrastruttura probabilmente ci ha pensato e vedono loro stessi la bola della doscon era un po' più fu fosa probabilmente era proprio anche perché non c'era bisogna di granche per
Transcript: [1450.285 --> 1479.968]  per insomma, in quel caso, per impressionare, quindi fondamentemente era quello che non ha serie di altri fattori. Quello che è, che mercate molto stressato, su diversi punti di vista, è tutto quello che ci stiamo portando avanti adesso e sempre tutto dovuto al Covid, e a quello che c'era relativamente prima del Covid, quindi siamo sempre più o meno nello stesso
Transcript: [1480.964 --> 1506.074]  grande unico ciclo dovuto a un grande catalizzatore, non ci siamo ancora ripresi, quindi il ciclo è stato questo, grande crisi dovuta la pandemia globale, stampaggio di denaro e politica monetaria e spansionistica, inflazione e esageratamente e estremamente velocemente fuori controllo,
Transcript: [1506.817 --> 1532.197]  e un grandissimo problema perché accerà da salvare il culo alle economia mondiale e per tanto adesso sono problemi e errori grossi perché fondamentamente quello che la feda ha fatto gli ultimi due anni è stato un quagli errori perché sulla deprime odietto 3% non è europea mai due
Transcript: [1532.77 --> 1561.525]  Ci saremo dovuti trovare in quella situazione, perché ora la fede in una disposizione, in una del loro più potenti strumenti di controllo bonitario che è proprio il controllo sui tasse di interesse. Tutà via, anche se stanno basando, stanno cercando di salvarsi il culo più possibile per essere pronti, l'anno prossimo a poter realizzare i tasse eventualmente se l'infrazione gradualmente continua a salire,
Transcript: [1562.386 --> 1589.032]  nonostante quello hanno anche altri strumenti, ci sono rimuovere l'idequita e l'anno fatto e lo continuano a fare. Quello non è rimasto fondamentamente in variato. Il loro balance sheet continuo a riducerci, quindi a riducerci, quindi non c'è questo stimolo da parte della banca centrale
Transcript: [1589.268 --> 1616.808]  l'investimento generale, c'ercolare del denaro, lo cercano comunque, di trattere ancora il denaro. Quindi quello rimasto abbastanza in variato. E' poi lo vedremo, questa parte dei cicli e dei controllo monetario, lo vedremo molto meglio. Anche andando ad analizzare e poi nello specifico, oggi non ho gran che voglia di appunzionrire, per me sono un datronore e talumassimo.
Transcript: [1617.55 --> 1646.761]  andremo a vedarlo con l'analysismo dei swap e nel risconflazione, nel rischio politica monetaria e riscata sull'interesse e quindi vi. E quello che è importante da vedere la prossima settimana si come lo sudda una che cosa porta la suspensione delle funzioni del governo. La suspensione delle funzioni del governo
Transcript: [1648.01 --> 1677.625]  è uno strumento politico, fondamentalmente, è uno strumento di potere politico della parte dell'opposizione e da parte anche poi della dedicato effettivamente al Governo nel senso che mentre i democratici in questo caso
Transcript: [1677.963 --> 1703.9]  non approvano trovando un accordo sulla spesa pubblica, rompono il collioni fondamentamente al governo effettivo e non lasciando implementare quello che vorrebbero quindi spenderi soldi come vorrebbe. Da l'altra parte, durante questo periodo, finché la suspensione continua, permette
Transcript: [1704.355 --> 1727.693]  da automaticamente più potere al Trump e al esforragazzi di eliminare cose che i democratici hanno ottenuto in passato e in tanto durante la influenzione del governo i dipendenti pubblici non vengono pagati. Secondo
Transcript: [1728.385 --> 1757.073]  con pure le pague venono ridotte, venono mantenuti soltanto i stipendi e le funzioni fondamentale, giusto un veneno veneno avuto vi invita a solo l'escenziale. Secondo poi, a scelta del governo incarica determinati ripartimenti interi o uffici che sono stati in situità, ad esempio, da precedenti amministrazioni, magari, dello posizione.
Transcript: [1757.377 --> 1786.064]  possono essere completamente eliminati, non so bene in questi 10 giorni, trample come abbiamo struttato questa situazione fine adesso, stavo solo leggendo anche l'esersito non ricevete stipendio comunque stipendio ridotti. Quindi è una situazione molto, te esamolto importante. Tutte le addinze governative in caricate di rilasciare dati economici,
Transcript: [1786.672 --> 1815.832]  vengono sospelsi anche esse e quindi non avevete notato ovviamente non è uscita nessuna nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova nuova
Transcript: [1817.013 --> 1845.363]  Cosa altro person polsio del discorso? A punto di cerveo? Scusi mi daviditi di me. Che vuolo chiedere una domanda. Sto guardando che invece l'è me due e comunque tornata a salire la massa monetaria. L'è me due.
Transcript: [1845.633 --> 1875.468]  la massa monetaria, questo non è indice comunque che c'è una più liquidità sul mercato con questa cosa qua. Si è corretto e fino in certo punto nel senso è dipende poi con questa liquidità come viene spesa, nel senso la liquidità c'è però
Transcript: [1876.75 --> 1906.518]  insomma, se una determinata banca centrale sta ancora favorendo la assorbimento di determinata liquidità in un determinato modo, quindi favorendo magari parque giro del denaro al costo fisso e a basso rischio e poi niente ma in basso rischio. Somma, è un po' più intricata la situazione da quel punto di vista, perché
Transcript: [1906.855 --> 1935.83]  se prendiamo in considerazione il reversore purges, che quindi che è fondamentalmente a zero, essendo che quello che ha stava trattenendo la misura sono nel nearia dell'ONR, repi, di tratenere il denaro overnight, quindi favorendo il parqueggio di liquidità alla fed, quindi un modo ciclico e ad un tasso conveniente. L'anno fondamentalmente svutato.
Transcript: [1936.64 --> 1966.424]  Quindi quella liquidità fondamentalmente che ha ritornato a su un mercato, però adesso è suotate. E' un po' un punto fermo in questo momento diciamo. È stato quello che lo è le reversere porcese e quello lo suotamento dello stesso e quello che ha favorito tutto realzo di SAPX durante questo ciclo di quantità di titano in che quantitativo.
Transcript: [1966.913 --> 1993.694]  Quindi un po' più come dire. Allora, ci è stato il quantità di fittare i tini per via dei tasse di interesselevati. Drasticamente, subito all'inizio ancora prima di iniziare e in l'aumento di tasse di interesse. La feda ha cominciato da sorbire le denaro fu appunto fornendo questa misura a staorniare dell'eversa e revore purcese.
Transcript: [1994.437 --> 2022.247]  ha cominciato da sorbire l'iquidità, quindi favorendo le banche con un parque giocicuro deliquidità, con l'attere leggiato da tesoleria americana, quindi fattori di rischio, metigati, queste via, arrivando ad oltre due trilioni, e poi un certo punto nonostante ci fossero il tasso di interessere le vati hanno cominciato a votare questo chiamemolo fondo
Transcript: [2022.618 --> 2052.098]  parcheggio, come vogliamo, e favorendo quindi un riento di quidditane mercati favorendo la crescita, quindi non stante e siamo capice gioco, non stante i tassi di interesselevati, di quidditabe disponibile, favoreci crescita e se fixe estremamente con le correlato alla crescita, all'eprolo tenterno l'ordo e tutto quanto, quindi fondamentalmente se c'è investimento a un momento anche quello, non potevono per mettersi insomma di
Transcript: [2052.554 --> 2082.22]  limitare la crescita e hanno prima, prima, hanno accumulato denario e poi hanno rimesso. C'è stato l'aumento però adesso c'è un po' non stanno insomma. Per quello si sta parlando di un ciclo fondamentalmente di stagglazione, probabilmente, quindi di inflazione e risalita, adesso sono e tutta speculazione non si sa ancora di preciso, siamo nel
Transcript: [2082.625 --> 2111.853]  diversi trimestre magari a omesi o anche di più a materializzarsi, specialmente quando non si tratta di crisi drastiche o quelle genera quindi cose lente da devolversi così via. Quindi un'inflazione risalita con un ciclo di fondamentalmente di titano in più quantitativo ancora effettivamente in full force
Transcript: [2112.173 --> 2133.233]  è una crescita rallenta a tapito stochè che aderito a indeclino magari non perché quello è veramente brastico però sono ma non si sa quindi è un po' un punto di volta ed è un po' come ne usciranno il ciclo
Transcript: [2134.027 --> 2149.062]  la mia ponte torgettive era cavol, sta aumentando la massa e stel il CPX sta andando su comunque, sta andando su
Transcript: [2150.007 --> 2179.572]  e ti era un po' un corto circuito, no? Dopo, dustamento non volevo andare a anticipare niente di rispetto al corso e tutto queste cose qua, era un tipo dito erogativi che avevo io guardando i mercati era dusto quello. C'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è, c'è
Transcript: [2180.804 --> 2208.158]  la liquidità nonostante sia disponibile, poi bisogna anche vedere in che modo venga spesa, perché se c'è rischio percipito una un profondo rischio o rischio percipito di mancanza di crescita, quindi si trasmetterà lo vedremo con una ruttura del trend, magari DSPX, così come dati sul pill così via.
Transcript: [2208.918 --> 2238.787]  in non così, a come odanti, come lo sono sotticina adesso. Somma vedremo, vedremo come questa liquidano, non stante sia un momento in quella disponibile come venga spesa perché potrebbe essere spesa in, in insomma, in tesorerie e in posti più sicuri, tutto sto che, che ci sarebbe ginesi. E già materiale, questo cosa della
Transcript: [2239.495 --> 2267.947]  perché il nonostante nonostante. L'isario di voi che il pizza è un begordesio, un per cui, come come diceva a mano, sta mattina, mi sembra. Io faccio a vedere il fatto che il Vix era che raggiungere se si è in una... in un momento rischioso, mettiamo la così come come... come situazione.
Transcript: [2268.335 --> 2297.225]  quello è molto interessante, tanto il VIX si dirà tutto, quando sarà il momento, se lo antichevano. L'escento obzionista è il mio faro. Stopane, il mio faro. Io la d'oro, la VIX, a amo guardare il VIX, guardare un molto di più prima, però comunque l'ho tenuto sempre in considerazione anche da tradite zoneria, ovviamente perché se non
Transcript: [2297.917 --> 2327.397]  stai perdendo veramente molto più di quello che lo spesso spieghe che si dice. E si non mi fa anche anche le varie scadente, non sei il disio che era la spette che vede che era quel coso. Se era evado su Viccentro un attimo.
Transcript: [2328.308 --> 2353.874]  In tanto il fatto che la liquiditi si stia tendenzialmente spostando o che sia, ok sia insomma stia cercando un nuovo postolo vediamo anche da diversi mesi, da tanto tempo e dei visibili insomma nonostante
Transcript: [2354.667 --> 2381.144]  ovviamente questi sono rendimenti di titoli di stato di 10 anni, quindi sono inversi e per l'embroche da CPX, i prezi quindi sono i minimi in ciclisi e fondamentalmente è un range che è quindi non si può chiamare questo ancora un'inversione. L'ultima volta che vi siamo vicinati al 4% e ci siamo allontanati e è stato in corrispondenza circa delle fuori nazi e quindi la risposta
Transcript: [2381.549 --> 2410.591]  dei catio bigationari con un po' contrario a quello che ci sarebbe in aspettati, ma da... che si aspettava più che altro chi non... chi non fa analisi di tesoreria o chi non fa tre di indite tesoreria ma perché l'ho faceva era abbastanza chiaro la fatta di abandonare quattro per cento perché sappiamo bene che il quattro per cento proprio per via
